Satellite,Benchmark Latitude,Benchmark Longitude,Benchmark Altitude,Predicted Latitude,Predicted Longitude,Predicted Altitude,Error
Satellite 134,-39510.395,13989.92,6926.533,-39659.492,13864.713,6919.417,194.82698
Satellite 135,-3041.7651,3747.392,-4869.1265,-3025.3716,3745.9727,-4835.0376,37.852535
Satellite 136,6082.1895,3217.0454,-745.3323,6081.376,3286.271,-788.56287,81.61941
Satellite 137,268.29126,-4167.474,-5527.9956,248.01404,-4169.1367,-5490.098,43.01334
Satellite 138,-2556.5757,-6194.181,1787.3234,-2433.8687,-6205.1,1769.6655,124.45094
Satellite 139,5592.63,-3651.3657,-1472.4087,5636.168,-3719.1377,-1570.671,127.059395
Satellite 140,-2993.221,-4313.415,4531.8774,-3010.5005,-4261.3374,4560.767,62.010277
Satellite 141,-3547.0227,2957.835,5140.0117,-3553.6516,2928.632,5128.3335,32.14236
Satellite 142,-3816.6338,5028.8877,2498.4707,-3816.805,5113.997,2519.419,87.649666
Satellite 143,-15597.655,38872.758,981.6979,-15637.069,38556.074,944.0534,321.3395
Satellite 144,-1102.8098,-5196.087,4451.9185,-1153.206,-5229.863,4455.4,60.76768
Satellite 145,6111.965,-3243.9836,289.57413,6102.095,-3206.257,314.28476,46.166203
Satellite 146,-702.3381,6660.9976,-1344.4904,-665.8155,6662.1685,-1379.6848,50.733814
Satellite 147,-316.4709,-4191.075,-5543.442,-437.07483,-4175.127,-5498.675,129.62927
Satellite 148,-3859.906,-6031.0967,749.3476,-3845.8176,-5995.5654,806.8189,69.02104
Satellite 149,-231.0482,891.1035,7511.655,-467.06183,927.96906,7484.065,240.46352
Satellite 150,35886.055,-22151.725,-91.33718,35823.86,-21915.082,-22.025728,254.30699
Satellite 151,5192.369,-4349.568,302.71848,5210.845,-4380.9575,314.28476,38.215893
Satellite 152,14903571.0,655268.5,-3113523.2,14815375.0,654424.56,-3105185.5,88593.25
Satellite 153,4506.5264,3233.0925,-4171.597,4454.462,3289.9941,-4145.961,81.275566
Satellite 154,6304.685,842.7845,-2796.2866,6325.9766,922.4544,-2728.0137,107.05989
